出发站,到达站,出发站lng,出发站lat,到达站lng,到达站lat
理工大学新迎校区,环城北路,102.729317,25.048397,102.722588,25.053383
环城北路,小菜园立交桥,102.722588,25.053383,102.710159,25.060139
小菜园立交桥,师范大学,102.710159,25.060139,102.698235,25.054493
西站,黄土坡车场,102.688766,25.052608,102.671684,25.063381
新区会堂(春融街),螺蛳湾公交枢纽站(彩云北路),102.831766,24.885816,102.775069,24.928457
螺蛳湾公交枢纽站(彩云北路),拓东路,102.775069,24.928457,102.718021,25.033546
弥勒寺(西昌路),篆塘,102.699518,25.034497,102.695651,25.039102
篆塘,眠山车场,102.695651,25.039102,102.648213,25.047138
雨花公交枢纽站(彩云南路),新区会堂(春融街),102.843063,24.834991,102.831814,24.885829
新区会堂(春融街),昆三中(春融东路),102.831814,24.885829,102.83467,24.885677
市政府(和谐路),滇池星城小区,102.831314,24.881329,102.794852,24.861806
滇池星城小区,滇池会展中心(环湖东路),102.794852,24.861806,102.704232,24.940816
滇池会展中心(环湖东路),广福路口(官南大道),102.704232,24.940816,102.719527,24.981389
广福路口(官南大道),锦苑花园,102.719527,24.981389,102.721905,25.003264
锦苑花园,南坝路,102.721905,25.003264,102.715295,25.021224
南坝路,市委花园,102.715295,25.021224,102.715,25.028898
市委花园,得胜桥(青年路),102.715,25.028898,102.716682,25.035009
得胜桥(青年路),艺术剧院,102.716682,25.035009,102.703873,25.038475
小西门(东风西路),眠山车场,102.701904,25.040359,102.647743,25.047239
新区会堂(春融街),世纪城(广福路),102.831662,24.885781,102.746168,24.960851
世纪城(广福路),华晨路口(广福路),102.746168,24.960851,102.710668,24.979657
华晨路口(广福路),昆明同仁医院(广福路),102.710668,24.979657,102.697739,24.979345
昆明同仁医院(广福路),湖畔之梦小区,102.697739,24.979345,102.682956,24.993511
滇池路口(广福路),张家村(兴苑路),102.677956,25.000036,102.656364,25.039513
张家村(兴苑路),海源中路,102.656364,25.039513,102.662895,25.057722
国际花园(海源北路),科新路口(海源北路),102.662231,25.067532,102.654984,25.073734
科新路口(海源北路),丽阳星城小区(海源北路),102.654984,25.073734,102.642403,25.07935
新螺蛳湾公交枢纽站(车场),永胜路,102.776298,24.930308,102.723473,25.018047
